Status,Date,Description,Debit,Credit
Cleared,04/18/2025,"CHEWY.COM 800-672-4399 FL",125.70,
Cleared,04/17/2025,"ONLINE PAYMENT, THANK YOU",,-2100.00
Cleared,04/17/2025,"CITY PLACE CAFE WASHINGTON DC",12.21,
Cleared,04/17/2025,"DD *DOORDASHDOUBLEDASH SAN FRANCISCO CA null XXXXXXXXXXXX9440",33.10,
Cleared,04/17/2025,"WEGMANS ONLINE SHOPPIN ROCHESTER NY",116.79,
Cleared,04/17/2025,"CHEWY.COM 800-672-4399 FL",200.56,
Cleared,04/17/2025,"TST*CITY KITCHEN Alexandria VA",56.95,
Cleared,04/16/2025,"TST*INDOCHEN- CAMERON 703-419-3160 VA",61.05,
Cleared,04/16/2025,"KING S CLEANERS ALEXANDRIA VA",55.70,
Cleared,04/16/2025,"APPLE.COM/BILL 866-712-7753 CA",9.99,
Cleared,04/16/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/16/2025,"CAFE ARIA WASHINGTON DC",17.99,
Cleared,04/16/2025,"ADOBE *ADOBE 4085366000 CA null XXXXXXXXXXXX6325",21.49,
Cleared,04/16/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/15/2025,"CAFE ARIA WASHINGTON DC",11.94,
Cleared,04/15/2025,"CAFE ARIA WASHINGTON DC",17.99,
Cleared,04/15/2025,"AMAZON MKTPL*0N7LD47B3 Amzn.com/bill WA null XXXXXXXXXXXX7795",45.32,
Cleared,04/15/2025,"VAN DORN GARAGE ALEXANDRIA VA",4.95,
Cleared,04/14/2025,"ONLINE PAYMENT, THANK YOU",,-1000.00
Cleared,04/14/2025,"THE VETS WILMINGTON DE",1093.16,
Cleared,04/14/2025,"AMAZON MKTPL*K08FZ2Z13 Amzn.com/bill WA null XXXXXXXXXXXX7795",10.59,
Cleared,04/14/2025,"Amazon.com*UF0L43HF3 Amzn.com/bill WA null XXXXXXXXXXXX7795",24.04,
Cleared,04/14/2025,"BRAY AND SCARFF EPAY LAUREL MD",195.00,
Cleared,04/14/2025,"RICE & NOODLES THAI GO ALEXANDRIA VA",38.05,
Cleared,04/13/2025,"CVS/PHARMACY #02343 ALEXANDRIA VA",6.75,
Cleared,04/13/2025,"OPENAI *CHATGPT SUBSCR SAN FRANCISCO CA null XXXXXXXXXXXX0610",20.00,
Cleared,04/13/2025,"Prime Video Channels amzn.com/bill WA null XXXXXXXXXXXX7795",4.99,
Cleared,04/13/2025,"POPEYES 2735 ALEXANDRIA VA",13.64,
Cleared,04/13/2025,"SQ *BEARDED GOAT BARBE Arlington VA",101.06,
Cleared,04/12/2025,"TST*ATLAS BREW WORKS - 703-512-4072 VA",31.29,
Cleared,04/12/2025,"WEGMANS #142 CARLYLE ALEXANDRIA VA",195.90,
Cleared,04/12/2025,"AMAZON MKTPL*ZJ35L7OB3 Amzn.com/bill WA null XXXXXXXXXXXX7795",19.03,
Cleared,04/12/2025,"TST*THE CHEWISH DELI Alexandria VA",26.99,
Cleared,04/12/2025,"VA ABC STORE 397 ALEXANDRIA VA",63.59,
Cleared,04/12/2025,"THE HOME DEPOT #4603 ALEXANDRIA VA",43.16,
Cleared,04/11/2025,"UBER *TRIP 8005928996 CA null XXXXXXXXXXXX4543",44.96,
